Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-01-01,25.888866424560547,24.146617889404297,19.861669540405273,17.667606353759766,14.965816497802734,15.225446701049805,18.28891944885254,21.55979347229004,24.34061050415039,24.938594818115234,26.825197219848633,28.533245086669922,27.420818328857422,28.04500389099121,25.21215057373047,24.272567749023438,27.488677978515625,33.90784454345703,37.8890380859375,37.129852294921875,32.30778503417969,28.605052947998047,29.72264862060547,29.19348907470703
2016-01-02,19.41679573059082,16.811687469482422,15.94325065612793,11.820661544799805,9.683347702026367,10.86373519897461,12.583194732666016,15.346115112304688,18.547313690185547,22.664487838745117,25.942216873168945,27.94089126586914,27.534629821777344,26.60082244873047,25.475627899169922,21.82254981994629,22.194971084594727,28.094411849975586,32.91801452636719,31.745731353759766,28.663936614990234,23.428150177001953,22.500102996826172,20.27911376953125
2016-01-03,25.503520965576172,21.624704360961914,15.705810546875,8.267601013183594,5.967311859130859,3.1927719116210938,2.3285484313964844,1.3391151428222656,8.047765731811523,14.081964492797852,19.860658645629883,22.33842658996582,23.204694747924805,20.70526123046875,15.174444198608398,11.562005996704102,14.922359466552734,25.939144134521484,33.27473449707031,34.97021484375,30.384737014770508,25.716354370117188,28.36537742614746,29.49687957763672
2016-01-04,15.056032180786133,9.845333099365234,4.470745086669922,-0.8355941772460938,2.0456924438476562,11.502784729003906,26.535858154296875,37.82003402709961,42.823360443115234,43.28300094604492,41.71370315551758,41.33356475830078,40.48799133300781,38.11716842651367,38.0987663269043,38.34244918823242,39.55278778076172,43.45546340942383,46.33421325683594,45.473209381103516,39.58243942260742,34.85316467285156,33.53977584838867,31.000288009643555
2016-01-05,23.787965774536133,22.609189987182617,21.514545440673828,16.829147338867188,15.695945739746094,20.3928165435791,29.35755157470703,36.097129821777344,38.58510208129883,38.11144256591797,37.440032958984375,37.531471252441406,37.385986328125,36.80183410644531,37.12828063964844,37.129215240478516,36.94894790649414,40.79594421386719,43.49755859375,41.785057067871094,36.13542175292969,32.453704833984375,31.580997467041016,29.59117889404297
2016-01-06,28.677406311035156,26.238998413085938,24.541522979736328,21.870777130126953,19.983707427978516,23.42578125,31.739145278930664,39.12153244018555,42.19392395019531,42.148521423339844,41.84394073486328,41.45549392700195,40.078033447265625,39.28190994262695,37.12239074707031,36.67220687866211,38.89738464355469,43.178619384765625,46.24849319458008,45.068939208984375,39.28435516357422,35.72291564941406,35.33149337768555,34.1068229675293
2016-01-07,27.556427001953125,24.087017059326172,21.0605411529541,18.273468017578125,16.160171508789062,20.197649002075195,28.624759674072266,35.778892517089844,38.101768493652344,37.17859649658203,37.8170280456543,37.707252502441406,37.940731048583984,36.24687194824219,34.89353942871094,34.31179428100586,35.79937744140625,39.307804107666016,41.032135009765625,39.80105972290039,35.86025619506836,32.23556137084961,32.3481559753418,31.41246223449707
2016-01-08,23.283935546875,20.954172134399414,18.804798126220703,12.548940658569336,12.029102325439453,19.00154685974121,30.528175354003906,37.997344970703125,40.72416687011719,40.98342514038086,40.663612365722656,40.73464584350586,39.76213455200195,38.0063362121582,36.39507293701172,36.17346954345703,38.47368240356445,40.839256286621094,43.597660064697266,41.504173278808594,36.035804748535156,33.758277893066406,33.74715805053711,32.48427200317383
2016-01-09,31.202526092529297,28.02102279663086,26.91494369506836,24.05489730834961,22.618061065673828,22.63127899169922,24.88334083557129,28.665748596191406,32.45672607421875,34.68086242675781,35.767433166503906,35.944122314453125,35.74428176879883,32.86627197265625,29.531282424926758,25.972185134887695,28.680683135986328,32.65373992919922,35.47099304199219,33.52275085449219,29.536470413208008,25.58821678161621,26.436302185058594,26.386192321777344
2016-01-10,22.140066146850586,20.18096160888672,15.803508758544922,12.559661865234375,12.471673965454102,10.455379486083984,11.237157821655273,13.600849151611328,16.92737579345703,21.487932205200195,23.03976821899414,24.924850463867188,25.874698638916016,24.451263427734375,22.328325271606445,19.41518783569336,23.52410888671875,30.563854217529297,35.88505172729492,36.4775276184082,33.72911071777344,30.772323608398438,29.592945098876953,28.356185913085938
